"Player","Born","minAge","MP","Starts","Min","Full90s","G","A","NPG","PK","G90","NPG90","A90","NPG+A90","Over27"
"Ștefan Popescu",1993,20,6,2,194,2.2,0,0,0,0,0,0,0,0,""
"Ștefan Radu",1986,20,345,338,28903,321.1,5,10,5,0,0.015569318063868803,0.015569318063868803,0.031138636127737606,0.04670795419160641,""
"Aaron Connolly",2000,19,45,24,2205,24.5,5,2,5,0,0.20408163265306123,0.20408163265306123,0.0816326530612245,0.2857142857142857,""
"Aaron Cresswell",1989,24,244,239,21175,235.3,9,25,9,0,0.03825265643447461,0.03825265643447461,0.10625737898465171,0.14451003541912633,""
"Aaron Doran",1991,17,3,0,119,1.3,0,0,0,0,0,0,0,0,""
"Aarón Escandell",1995,23,12,11,1004,11.2,0,0,0,0,0,0,0,0,""
"Aarón Galindo",1982,25,32,31,2832,31.5,0,0,0,0,0,0,0,0,""
"Aaron Hickey",2002,18,35,33,2624,29.1,4,1,4,0,0.13719512195121952,0.13719512195121952,0.03429878048780488,0.1714939024390244,""
"Aaron Hughes",1979,17,455,434,38829,431.3,5,15,5,0,0.011589276056555665,0.011589276056555665,0.034767828169667,0.04635710422622267,""
"Aaron Hunt",1986,17,303,225,20551,228.4,56,39,45,11,0.2452435404603182,0.19707070215561287,0.17079460853486447,0.36786531069047734,""
"Aaron Lennon",1987,16,404,305,27293,303.2,36,50,36,0,0.11871175759352215,0.11871175759352215,0.1648774411021141,0.28358919869563626,""
"Aaron Leya Iseka",1997,18,79,36,3489,38.699999999999996,10,1,7,3,0.2579535683576956,0.18056749785038692,0.025795356835769563,0.20636285468615648,""
"Aarón Martín",1997,19,161,150,13500,150,1,7,1,0,0.006666666666666666,0.006666666666666666,0.04666666666666667,0.05333333333333334,""
"Aaron McLean",1983,30,1,0,7,0.1,0,0,0,0,0,0,0,0,"*"
"Aaron Mokoena",1980,23,124,76,6949,77.2,0,2,0,0,0,0,0.02590300762699669,0.02590300762699669,""
"Aaron Mooy",1990,26,96,84,7482,83.2,9,6,7,2,0.1082598235765838,0.08420208500400962,0.07217321571772253,0.15637530072173217,""
"Aarón Ñíguez",1989,24,43,23,2031,22.6,1,2,1,0,0.044313146233382575,0.044313146233382575,0.08862629246676515,0.13293943870014774,""
"Aaron Ramsdale",1998,21,96,96,8640,96,0,1,0,0,0,0,0.010416666666666668,0.010416666666666668,""
"Aaron Ramsey",1990,17,311,206,18973,210.8,45,50,45,0,0.213461234385706,0.213461234385706,0.2371791493174511,0.45064038370315707,""
"Aaron Rowe",2000,17,2,1,69,0.8,0,0,0,0,0,0,0,0,""
"Aaron Seydel",1996,20,6,1,176,2,1,0,1,0,0.5113636363636364,0.5113636363636364,0,0.5113636363636364,""
"Aaron Tabacchi",1998,17,1,0,9,0.1,0,0,0,0,0,0,0,0,""
"Aaron Wan-Bissaka",1997,19,128,127,11414,126.8,2,11,2,0,0.015770106886280007,0.015770106886280007,0.08673558787454004,0.10250569476082005,""
"Aaron Wilbraham",1979,31,15,3,397,4.4,1,1,1,0,0.22670025188916876,0.22670025188916876,0.22670025188916876,0.4534005037783375,"*"
"Aatif Chahechouhe",1986,23,7,1,202,2.2,0,0,0,0,0,0,0,0,""
"Abass Lawal",1980,22,6,6,505,5.6,0,0,0,0,0,0,0,0,""
"Abasse Ba",1976,32,16,16,1366,15.2,0,0,0,0,0,0,0,0,"*"
"Abdallah N'dour",1993,23,15,11,919,10.1,0,0,0,0,0,0,0,0,""
"Abdallahi Mahmoud",2000,19,5,2,218,2.4,0,0,0,0,0,0,0,0,""
"Abdel Jalil Medioub",1997,18,8,4,447,5,0,0,0,0,0,0,0,0,""
"Abdelaziz Ahanfouf",1978,21,60,26,3062,34,12,3,9,3,0.3527106466361855,0.2645329849771391,0.08817766165904638,0.3527106466361855,""
"Abdelaziz Barrada",1989,22,97,75,6446,71.6,10,14,10,0,0.13962147067949116,0.13962147067949116,0.1954700589512876,0.33509152963077876,""
"Abdelaziz Kamara",1984,21,3,3,241,2.7,0,0,0,0,0,0,0,0,""
"Abdelhafid Tasfaout",1969,31,53,34,3235,35.9,6,0,6,0,0.16692426584234932,0.16692426584234932,0,0.16692426584234932,"*"
"Abdelhakim Omrani",1991,19,2,0,7,0.1,0,0,0,0,0,0,0,0,""
"Abdelhamid El Kaoutari",1990,19,178,159,14474,160.8,2,3,2,0,0.012436092303440652,0.012436092303440652,0.01865413845516098,0.03109023075860163,""
"Abdelhamid Sabiri",1996,20,34,13,1435,15.799999999999999,4,2,3,1,0.2508710801393728,0.18815331010452963,0.1254355400696864,0.313588850174216,""
"Abdelilah Fahmi",1973,26,84,81,7035,78.1,4,1,4,0,0.0511727078891258,0.0511727078891258,0.01279317697228145,0.06396588486140725,""
"Abdelilah Saber",1974,26,18,14,1336,14.8,0,0,0,0,0,0,0,0,""
"Abdelkader Ferhaoui",1965,34,20,7,674,7.5,0,0,0,0,0,0,0,0,"*"
"Abdelkader Ghezzal",1984,23,134,90,8580,95.4,15,7,13,2,0.15734265734265734,0.13636363636363635,0.07342657342657342,0.2097902097902098,""
"Abdelkader Oueslati",1991,20,1,0,16,0.2,0,0,0,0,0,0,0,0,""
"Abdelmalek Cherrad",1981,21,52,32,2744,30.5,8,2,8,0,0.26239067055393583,0.26239067055393583,0.06559766763848396,0.3279883381924198,""
"Abdelnasser Ouadah",1975,23,122,100,8522,94.60000000000001,9,11,9,0,0.09504811077211923,0.09504811077211923,0.1161699131659235,0.21121802393804273,""
"Abder Ramdane",1974,25,68,38,3673,40.800000000000004,5,5,5,0,0.12251565477811054,0.12251565477811054,0.12251565477811054,0.24503130955622107,""
"Abderrahman Kabous",1983,24,7,7,548,6.1,0,0,0,0,0,0,0,0,""
"Abderraouf Zarabi",1979,24,2,1,51,0.5,0,0,0,0,0,0,0,0,""
"Abderrazzak Jadid",1983,19,21,6,700,7.8,0,0,0,0,0,0,0,0,""
"Abdeslam Ouaddou",1978,20,204,195,17039,189.3,7,2,7,0,0.03697400082164446,0.03697400082164446,0.010564000234755561,0.04753800105640002,""
"Abdessamad Ezzalzouli",2001,18,10,6,580,6.4,1,0,1,0,0.15517241379310345,0.15517241379310345,0,0.15517241379310345,""
"Abdisalam Ibrahim",1991,18,1,0,16,0.2,0,0,0,0,0,0,0,0,""
"Abdón Prats",1992,18,38,4,702,7.8,1,0,1,0,0.12820512820512822,0.12820512820512822,0,0.12820512820512822,""
"Abdou Diallo",1996,18,112,99,8725,96.9,3,5,3,0,0.030945558739255013,0.030945558739255013,0.051575931232091685,0.0825214899713467,""
"Abdou Harroui",1998,18,18,3,417,4.6,0,0,0,0,0,0,0,0,""
"Abdou Lahat Diakhate",1998,19,1,0,1,0,0,0,0,0,0,0,0,0,""
"Abdou Traoré",1988,20,114,59,5467,60.9,3,0,3,0,0.04938723248582403,0.04938723248582403,0,0.04938723248582403,""
"Abdoul Ba",1994,20,9,4,428,4.8,0,0,0,0,0,0,0,0,""
"Abdoul Camara",1990,18,105,57,5283,58.8,5,2,5,0,0.08517887563884158,0.08517887563884158,0.034071550255536626,0.1192504258943782,""
"Abdoul Kader Bamba",1994,25,56,22,2385,26.5,4,4,4,0,0.1509433962264151,0.1509433962264151,0.1509433962264151,0.3018867924528302,""
"Abdoul Sissoko",1990,21,58,50,4297,47.7,0,0,0,0,0,0,0,0,""
"Abdoulay Diaby",1991,23,4,0,46,0.5,0,0,0,0,0,0,0,0,""
"Abdoulay Konko",1984,22,210,190,16375,182,8,7,8,0,0.04396946564885496,0.04396946564885496,0.03847328244274809,0.08244274809160305,""
"Abdoulaye Ba",1991,23,46,45,3719,41.3,1,0,1,0,0.024200053777897287,0.024200053777897287,0,0.024200053777897287,""
"Abdoulaye Bakayoko",2002,18,2,2,180,2,0,0,0,0,0,0,0,0,""
"Abdoulaye Baldé",1986,20,3,1,86,1,0,0,0,0,0,0,0,0,""
"Abdoulaye Bamba",1990,21,103,96,8631,96,0,5,0,0,0,0,0.05213764337851929,0.05213764337851929,""
"Abdoulaye Barry",1980,21,1,0,9,0.1,0,0,0,0,0,0,0,0,""
"Abdoulaye Camara",1980,19,2,0,11,0.1,0,0,0,0,0,0,0,0,""
"Abdoulaye Cissé",1983,17,28,8,925,10.2,3,1,3,0,0.29189189189189185,0.29189189189189185,0.0972972972972973,0.38918918918918916,""
"Abdoulaye Coulibaly",1988,20,1,0,27,0.3,0,0,0,0,0,0,0,0,""
"Abdoulaye Dabo",2001,17,2,2,116,1.3,0,0,0,0,0,0,0,0,""
"Abdoulaye Diallo",1992,17,18,18,1575,17.5,0,0,0,0,0,0,0,0,""
"Abdoulaye Doucouré",1993,19,265,238,21193,235.4,33,32,33,0,0.1401406124663804,0.1401406124663804,0.13589392724012647,0.2760345397065069,""
"Abdoulaye Faye",1978,24,227,211,17919,199.1,10,3,10,0,0.05022601707684581,0.05022601707684581,0.015067805123053741,0.06529382219989956,""
"Abdoulaye Keita",1990,18,2,0,72,0.8,0,0,0,0,0,0,0,0,""
"Abdoulaye Keita",1994,18,40,17,1965,21.8,0,1,0,0,0,0,0.04580152671755725,0.04580152671755725,""
"Abdoulaye Khouma Keita",1978,26,3,3,185,2.1,0,0,0,0,0,0,0,0,""
"Abdoulaye Méïté",1980,19,225,219,19077,212,2,2,2,0,0.009435445824815222,0.009435445824815222,0.009435445824815222,0.018870891649630444,""
"Abdoulaye Sané",1992,19,15,0,225,2.5,0,1,0,0,0,0,0.4,0.4,""
"Abdoulaye Sidibé",2002,18,1,0,11,0.1,0,0,0,0,0,0,0,0,""
"Abdoulaye Sylla",2000,20,3,1,75,0.7999999999999999,0,0,0,0,0,0,0,0,""
"Abdoulaye Touré",1994,19,151,116,10496,116.7,9,4,6,3,0.07717225609756098,0.051448170731707314,0.03429878048780488,0.0857469512195122,""
"Abdourahmane Barry",2000,18,8,1,210,2.3,0,0,0,0,0,0,0,0,""
"Abdu Conté",1998,18,6,6,499,5.5,0,0,0,0,0,0,0,0,""
"Abdul Iyodo",1979,22,4,1,123,1.4,0,0,0,0,0,0,0,0,""
"Abdul Kader Keïta",1981,23,115,80,7286,81,20,11,20,0,0.24704913532802633,0.24704913532802633,0.1358770244304145,0.3829261597584408,""
"Abdul Majeed Waris",1991,21,142,103,9372,104.10000000000001,39,15,32,7,0.3745198463508323,0.3072983354673496,0.1440460947503201,0.4513444302176697,""
"Abdul Razak",1992,17,5,0,16,0.1,0,0,0,0,0,0,0,0,""
"Abdulkadir Özgen",1986,19,2,0,6,0.1,0,0,0,0,0,0,0,0,""
"Abdullah Fusseini",1982,17,1,0,19,0.2,0,0,0,0,0,0,0,0,""
"Abdullah Quaye",1983,16,1,0,6,0.1,0,0,0,0,0,0,0,0,""
"Abeiku Quansah",1990,17,9,1,158,1.8,0,0,0,0,0,0,0,0,""
"Abel Aguilar",1985,20,139,124,11052,122.8,8,6,8,0,0.06514657980456026,0.06514657980456026,0.048859934853420196,0.11400651465798045,""
"Abel Balbo",1966,32,47,19,2037,22.6,7,2,7,0,0.30927835051546393,0.30927835051546393,0.08836524300441825,0.3976435935198822,"*"
"Abel Buades",1977,29,18,16,1421,15.8,1,1,0,1,0.0633356790992259,0,0.0633356790992259,0.0633356790992259,"*"
"Abel Gigli",1990,18,1,0,48,0.5,0,0,0,0,0,0,0,0,""
"Abel Gómez Moreno",1982,25,102,53,5189,57.6,6,6,6,0,0.10406629408363847,0.10406629408363847,0.10406629408363847,0.20813258816727695,""
"Abel Hernández",1990,17,132,73,6981,77.6,25,8,22,3,0.32230339492909327,0.28362698753760207,0.10313708637730984,0.3867640739149119,""
"Abel Khaled",1992,18,14,3,336,3.8,0,0,0,0,0,0,0,0,""
"Abel Ruiz",2000,18,1,0,22,0.2,0,0,0,0,0,0,0,0,""
"Abel Xavier",1972,26,82,76,6785,75.39999999999999,2,4,2,0,0.02652910832719234,0.02652910832719234,0.05305821665438468,0.07958732498157702,""
"Abelardo Fernández",1970,28,109,105,9116,101.3,3,3,3,0,0.029618253620008778,0.029618253620008778,0.029618253620008778,0.059236507240017555,"*"
"Ablie Jallow",1998,18,2,2,129,1.4,0,0,0,0,0,0,0,0,""
"Abou Diaby",1986,18,138,101,8582,95.3,15,10,15,0,0.15730598927988815,0.15730598927988815,0.10487065951992543,0.26217664879981356,""
"Abou Diop",1993,18,2,0,21,0.2,0,0,0,0,0,0,0,0,""
"Abou Ouattara",1999,19,1,0,9,0.1,0,0,0,0,0,0,0,0,""
"Aboubakar Kamara",1995,19,36,14,1579,17.6,4,0,3,1,0.2279924002533249,0.17099430018999365,0,0.17099430018999365,""
"Aboubakar Sidibé",1996,18,1,0,6,0.1,0,0,0,0,0,0,0,0,""
"Abraham Gneki Guié",1986,25,24,8,1027,11.4,1,1,1,0,0.08763388510223953,0.08763388510223953,0.08763388510223953,0.17526777020447906,""
"Abraham González",1985,23,64,42,3375,37.5,2,3,2,0,0.05333333333333333,0.05333333333333333,0.08,0.13333333333333333,""
"Abraham Minero",1986,25,79,66,5870,65.2,2,4,2,0,0.030664395229982964,0.030664395229982964,0.06132879045996593,0.0919931856899489,""
"Abraham Paz",1979,26,51,49,4244,47.099999999999994,3,1,3,0,0.06361922714420358,0.06361922714420358,0.02120640904806786,0.08482563619227144,""
"Abuda",1986,19,1,0,9,0.1,0,0,0,0,0,0,0,0,""
"Accursio Bentivegna",1996,18,7,2,108,1.2,0,0,0,0,0,0,0,0,""
"Achille Coser",1982,29,2,2,134,1.5,0,0,0,0,0,0,0,0,"*"
"Achille Emaná",1982,21,198,189,16657,185.1,34,21,32,2,0.18370654979888335,0.1729002821636549,0.11346581016989854,0.2863660923335535,""
"Achim Hollerieth",1973,25,1,1,90,1,0,0,0,0,0,0,0,0,""
"Achim Pfuderer",1975,24,29,15,1673,18.6,0,1,0,0,0,0,0.0537955768081291,0.0537955768081291,""
"Achim Weber",1969,31,9,6,525,5.8,1,2,1,0,0.17142857142857143,0.17142857142857143,0.34285714285714286,0.5142857142857142,"*"
"Achraf Hakimi",1998,18,121,103,9488,105.4,19,25,19,0,0.18022765598650928,0.18022765598650928,0.237141652613828,0.4173693086003373,""
"Achraf Lazaar",1992,22,68,59,4941,54.9,4,5,4,0,0.07285974499089254,0.07285974499089254,0.09107468123861566,0.1639344262295082,""
"Acorán",1983,18,10,3,378,4.2,0,0,0,0,0,0,0,0,""
"Adaílton",1977,22,103,64,5659,63,24,12,20,4,0.3816928786004595,0.3180773988337162,0.19084643930022974,0.5089238381339459,""
"Adaílton",1979,25,16,14,1021,11.3,0,1,0,0,0,0,0.0881488736532811,0.0881488736532811,""
"Adaílton",1983,21,42,39,3410,37.9,0,4,0,0,0,0,0.10557184750733138,0.10557184750733138,""
"Adalberto Peñaranda",1997,18,45,34,2794,31,5,3,5,0,0.16105941302791696,0.16105941302791696,0.09663564781675019,0.25769506084466715,""
"Adam Armstrong",1997,16,34,15,1443,16,2,3,2,0,0.12474012474012475,0.12474012474012475,0.18711018711018712,0.31185031185031187,""
"Adam Bodzek",1985,19,94,83,7116,79.1,3,2,3,0,0.03794266441821248,0.03794266441821248,0.025295109612141653,0.06323777403035413,""
"Ádám Bogdán",1987,22,26,25,2303,25.6,0,0,0,0,0,0,0,0,""
"Adam Bolder",1980,19,13,2,421,4.699999999999999,0,0,0,0,0,0,0,0,""
"Adam Campbell",1995,17,3,0,26,0.3,0,0,0,0,0,0,0,0,""
"Adam Chambers",1980,21,13,10,895,9.9,0,0,0,0,0,0,0,0,""
"Adam Clayton",1989,27,34,32,2804,31.2,0,2,0,0,0,0,0.06419400855920114,0.06419400855920114,"*"
"Adam Drury",1978,25,45,43,3716,41.3,1,2,1,0,0.024219590958019375,0.024219590958019375,0.04843918191603875,0.07265877287405813,""
"Adam Farley",1980,18,1,0,45,0.5,0,0,0,0,0,0,0,0,""
"Adam Federici",1985,21,31,29,2677,29.7,0,0,0,0,0,0,0,0,""
"Adam Forshaw",1991,18,52,43,3877,43,0,2,0,0,0,0,0.04642765024503483,0.04642765024503483,""
"Adam Green",1984,19,8,8,720,8,0,1,0,0,0,0,0.125,0.125,""
"Adam Hammill",1988,22,19,10,885,9.9,0,2,0,0,0,0,0.2033898305084746,0.2033898305084746,""
"Adam Henley",1994,17,7,4,471,5.2,0,0,0,0,0,0,0,0,""
"Adam Hloušek",1988,21,81,71,6256,69.6,4,4,4,0,0.05754475703324809,0.05754475703324809,0.05754475703324809,0.11508951406649617,""
"Adam Idah",2001,18,29,7,853,9.4,1,1,1,0,0.10550996483001171,0.10550996483001171,0.10550996483001171,0.21101992966002342,""
"Adam Jabiri",1984,25,1,0,21,0.2,0,0,0,0,0,0,0,0,""
"Adam Johnson",1987,18,265,160,15085,167.70000000000002,32,30,29,3,0.1909181305933046,0.1730195558501823,0.17898574743122306,0.35200530328140534,""
"Adam Lallana",1988,24,246,179,15807,175.6,31,29,31,0,0.17650408047067753,0.17650408047067753,0.16511672044031125,0.3416208009109888,""
"Ádám Lang",1993,23,22,21,1858,20.700000000000003,0,0,0,0,0,0,0,0,""
"Adam le Fondre",1986,25,34,11,1514,16.8,12,1,9,3,0.71334214002642,0.535006605019815,0.059445178335535004,0.59445178335535,""
"Adam Marušić",1992,24,132,116,10427,115.9,8,9,8,0,0.0690515009110962,0.0690515009110962,0.07768293852498322,0.14673443943607942,""
"Adam Masina",1994,21,150,133,11569,128.5,4,6,4,0,0.031117641974241505,0.031117641974241505,0.04667646296136226,0.07779410493560376,""
"Adam Matthews",1992,23,1,0,37,0.4,0,0,0,0,0,0,0,0,""
"Adam Matuszczyk",1989,20,52,31,2964,33,4,2,4,0,0.1214574898785425,0.1214574898785425,0.06072874493927125,0.18218623481781376,""
"Adam Matysek",1968,31,44,44,3927,43.6,0,0,0,0,0,0,0,0,"*"
"Adam Mitchell",1993,18,1,0,3,0,0,0,0,0,0,0,0,0,""
"Adam Murray",1981,16,32,8,973,10.7,0,0,0,0,0,0,0,0,""
"Ádám Nagy",1995,21,51,40,3489,38.7,1,1,1,0,0.025795356835769563,0.025795356835769563,0.025795356835769563,0.051590713671539126,""
"Adam Nemec",1985,24,28,7,932,10.4,4,0,4,0,0.38626609442060084,0.38626609442060084,0,0.38626609442060084,""
"Adam Newton",1980,18,2,0,19,0.2,0,0,0,0,0,0,0,0,""
"Adam Obert",2002,18,5,3,262,2.9,0,0,0,0,0,0,0,0,""
